Id,Category
0,Boat
1,Caterpillar
2,Caterpillar
3,Caterpillar
4,Caterpillar
5,Car
6,Caterpillar
7,Boat
8,Caterpillar
9,Caterpillar
10,Caterpillar
11,Caterpillar
12,Bicycle
13,Caterpillar
14,Caterpillar
15,Caterpillar
16,Caterpillar
17,Caterpillar
18,Caterpillar
19,Car
20,Caterpillar
21,Caterpillar
22,Caterpillar
23,Caterpillar
24,Motorcycle
25,Car
26,Caterpillar
27,Caterpillar
28,Car
29,Caterpillar
30,Boat
31,Ambulance
32,Caterpillar
33,Caterpillar
34,Caterpillar
35,Caterpillar
36,Truck
37,Caterpillar
38,Caterpillar
39,Caterpillar
40,Caterpillar
41,Caterpillar
42,Caterpillar
43,Caterpillar
44,Caterpillar
45,Ambulance
46,Caterpillar
47,Car
48,Truck
49,Bicycle
50,Caterpillar
51,Caterpillar
52,Caterpillar
53,Caterpillar
54,Caterpillar
55,Boat
56,Caterpillar
57,Caterpillar
58,Caterpillar
59,Caterpillar
60,Caterpillar
61,Caterpillar
62,Caterpillar
63,Caterpillar
64,Car
65,Caterpillar
66,Truck
67,Caterpillar
68,Boat
69,Motorcycle
70,Motorcycle
71,Motorcycle
72,Boat
73,Caterpillar
74,Motorcycle
75,Caterpillar
76,Caterpillar
77,Caterpillar
78,Caterpillar
79,Caterpillar
80,Caterpillar
81,Caterpillar
82,Car
83,Caterpillar
84,Car
85,Car
86,Boat
87,Caterpillar
88,Caterpillar
89,Caterpillar
90,Caterpillar
91,Caterpillar
92,Boat
93,Helicopter
94,Caterpillar
95,Caterpillar
96,Boat
97,Caterpillar
98,Caterpillar
99,Car
100,Caterpillar
101,Caterpillar
102,Motorcycle
103,Caterpillar
104,Caterpillar
105,Boat
106,Caterpillar
107,Caterpillar
108,Caterpillar
109,Caterpillar
110,Caterpillar
111,Caterpillar
112,Caterpillar
113,Caterpillar
114,Caterpillar
115,Caterpillar
116,Ambulance
117,Caterpillar
118,Caterpillar
119,Truck
120,Caterpillar
121,Caterpillar
122,Caterpillar
123,Boat
124,Car
125,Caterpillar
126,Car
127,Caterpillar
128,Boat
129,Ambulance
130,Caterpillar
131,Caterpillar
132,Car
133,Caterpillar
134,Motorcycle
135,Caterpillar
136,Bus
137,Caterpillar
138,Car
139,Caterpillar
140,Boat
141,Caterpillar
142,Caterpillar
143,Caterpillar
144,Truck
145,Caterpillar
146,Caterpillar
147,Caterpillar
148,Caterpillar
149,Caterpillar
150,Caterpillar
151,Bicycle
152,Caterpillar
153,Taxi
154,Car
155,Caterpillar
156,Truck
157,Caterpillar
158,Motorcycle
159,Caterpillar
160,Caterpillar
161,Caterpillar
162,Caterpillar
163,Caterpillar
164,Car
165,Caterpillar
166,Caterpillar
167,Caterpillar
168,Caterpillar
169,Caterpillar
170,Caterpillar
171,Caterpillar
172,Truck
173,Caterpillar
174,Caterpillar
175,Caterpillar
176,Caterpillar
177,Truck
178,Caterpillar
179,Car
180,Caterpillar
181,Helicopter
182,Car
183,Car
184,Caterpillar
185,Caterpillar
186,Caterpillar
187,Boat
188,Caterpillar
189,Caterpillar
190,Boat
191,Boat
192,Caterpillar
